epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,10041.7,0.77993,0.53046,1.09139,0.89582,0.8686,0.92576,0.70471,0.89209,0.56526,1.0481,0.00109,0.00109,0.00109
92,10149.5,0.77178,0.51064,1.0879,0.89924,0.86691,0.92592,0.70551,0.89068,0.56394,1.04693,0.000991,0.000991,0.000991
93,10257.7,0.75998,0.50349,1.081,0.90127,0.86611,0.92632,0.70661,0.88917,0.56231,1.04574,0.000892,0.000892,0.000892
94,10365.5,0.75038,0.49456,1.07617,0.8966,0.87031,0.92675,0.70767,0.88744,0.56067,1.04453,0.000793,0.000793,0.000793
95,10473.1,0.74525,0.48927,1.07052,0.89667,0.87123,0.92734,0.70832,0.88599,0.55885,1.04322,0.000694,0.000694,0.000694
96,10581.8,0.73948,0.48427,1.06835,0.89912,0.86965,0.92801,0.70969,0.8846,0.55747,1.04199,0.000595,0.000595,0.000595
97,10689.6,0.73129,0.47776,1.06368,0.90027,0.86991,0.92859,0.71059,0.88319,0.55553,1.04081,0.000496,0.000496,0.000496
98,10797.6,0.72748,0.47186,1.05812,0.90149,0.86821,0.92886,0.71115,0.88163,0.55375,1.03965,0.000397,0.000397,0.000397
99,10905.6,0.7225,0.4639,1.05741,0.90071,0.86781,0.92924,0.71219,0.87996,0.55218,1.03827,0.000298,0.000298,0.000298
100,11013.6,0.71443,0.46255,1.05433,0.90074,0.86939,0.92962,0.71296,0.87853,0.5505,1.03723,0.000199,0.000199,0.000199
